,Activity Date,Distance,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Average Cadence,Average Heart Rate,Average Watts,Weighted Average Power,Wind Speed,Average Speed,Total Weight
499,2018-12-20 21:21:47,28.5,3649.0,57.960001373291014,189.0,196.0,774.4000244140625,837.0,81.80491638183594,136.3743438720703,141.1241455078125,158.0,,28.117292408879145,77.5
500,2018-12-21 11:44:34,60.17,7936.0,59.039998626708986,564.0,577.0,712.7999877929688,870.0,84.58311462402344,144.08807373046875,130.85836791992188,150.0,,27.294858870967747,77.5
502,2018-12-27 12:11:00,102.46,13926.0,63.0,1056.0,1034.0,708.7999877929688,879.4000244140625,82.14344024658203,133.4849853515625,121.8924331665039,132.0,,26.486859112451526,77.5
503,2018-12-28 08:00:09,151.54,22486.0,74.16000137329102,1809.0,1827.0,465.6000061035156,872.4000244140625,80.5592041015625,124.58518981933594,105.30650329589844,126.0,,24.261496041981676,77.5
504,2018-12-29 10:21:38,79.98,11130.0,69.47999725341798,816.0,812.0,641.5999755859375,872.7999877929688,79.30513763427734,129.3997344970703,114.94465637207033,133.0,,25.86954177897574,77.5
506,2018-12-31 11:08:48,76.88,10584.0,61.560001373291016,706.0,712.0,694.4000244140625,858.4000244140625,82.20557403564453,130.58172607421875,119.597412109375,130.0,,26.149659863945573,77.5
507,2019-01-03 10:11:26,34.99,4757.0,47.88000068664551,181.0,180.0,811.5999755859375,842.5999755859375,84.07859802246094,118.25309753417967,125.4284210205078,135.0,,26.479714105528693,77.5
509,2019-01-06 08:29:37,120.03,17135.0,60.12000274658203,1435.0,1441.0,540.2000122070312,902.4000244140624,81.19096374511719,132.6464385986328,113.44425964355467,144.0,,25.217858185001457,77.5
510,2019-01-07 21:10:22,26.5,3694.0,45.36000137329102,140.0,137.0,797.7999877929688,828.4000244140625,83.69420623779297,112.58338165283205,103.75176239013672,110.0,,25.82566323768273,77.5
511,2019-01-08 20:20:15,43.49,5462.0,43.2,222.0,219.0,792.2000122070312,821.5999755859375,84.12589263916016,132.51446533203125,134.21859741210938,143.0,,28.664225558403515,77.5
512,2019-01-09 18:59:15,27.86,3666.0,47.160001373291024,151.0,142.0,807.5999755859375,839.2000122070312,81.91419219970703,128.1546630859375,118.75531768798828,123.0,,27.358428805237317,77.5
513,2019-01-10 20:55:47,35.14,4355.0,46.800000000000004,181.0,169.0,800.2000122070312,829.7999877929688,77.80123138427734,137.28289794921875,142.79632568359375,154.0,,29.047990815154993,77.5
514,2019-01-12 09:31:36,84.54,11934.0,70.56000137329102,873.0,882.0,669.2000122070312,900.2000122070312,78.6808090209961,127.09125518798828,114.14630126953124,137.0,,25.50226244343892,77.5
516,2019-01-15 11:23:44,43.44,5585.0,54.0,215.0,218.0,800.4000244140625,832.2000122070312,83.98936462402344,130.986572265625,139.67698669433594,155.0,,28.00071620411817,77.5
517,2019-01-16 17:48:27,33.06,4383.0,72.72000274658204,329.0,315.0,782.7999877929688,865.5999755859375,83.79715728759766,124.75965118408205,120.1686553955078,129.0,,27.154004106776185,77.5
518,2019-01-17 20:32:29,45.18,5497.0,47.88000068664551,237.0,228.0,790.7999877929688,823.4000244140625,84.66896057128906,132.48153686523438,146.159912109375,154.0,,29.588502819719846,77.5
